date,Acadia National Park,Arches National Park,Badlands National Park,Big Bend National Park,Biscayne National Park,Black Canyon of the Gunnison National Park,Bryce Canyon National Park,Canyonlands National Park,Capitol Reef National Park,Carlsbad Caverns National Park,Channel Islands National Park,Congaree National Park,Crater Lake National Park,Cuyahoga Valley National Park,Death Valley National Park,Denali National Park,Dry Tortugas National Park,Everglades National Park,Gates of the Arctic National Park,Gateway Arch National Park,Glacier Bay National Park,Glacier National Park,Grand Canyon National Park,Grand Teton National Park,Great Basin National Park,Great Sand Dunes National Park,Great Smoky Mountains National Park,Guadalupe Mountains National Park,Haleakala National Park,Hawaii Volcanoes National Park,Hot Springs National Park,Indiana Dunes National Park,Isle Royale National Park,Joshua Tree National Park,Katmai National Park,Kenai Fjords National Park,Kings Canyon National Park,Kobuk Valley National Park,Lake Clark National Park,Lassen Volcanic National Park,Mammoth Cave National Park,Mesa Verde National Park,Mount Rainier National Park,National Park of American Samoa,New River Gorge National Park,North Cascades National Park,Olympic National Park,Petrified Forest National Park,Pinnacles National Park,Redwood National Park,Rocky Mountain National Park,Saguaro National Park,Sequoia National Park,Shenandoah National Park,Theodore Roosevelt National Park,Virgin Islands National Park,Voyageurs National Park,White Sands National Park,Wind Cave National Park,Wrangell-St. Elias National Park,Yellowstone National Park,Yosemite National Park,Zion National Park
2004-01-01,30,24,30,84,0,0,55,62,0,69,79,0,54,0,27,51,0,100,0,0,0,34,82,18,35,0,30,0,47,24,51,0,48,45,0,0,41,0,0,0,26,27,33,0,0,0,28,0,0,35,34,24,24,31,0,0,0,0,0,0,23,39,31
2004-02-01,27,26,30,76,47,0,49,58,0,0,67,0,33,0,28,58,0,64,0,0,0,35,78,21,36,0,54,0,35,42,32,0,29,60,51,0,44,0,0,0,45,32,36,0,0,0,44,0,0,30,32,39,30,30,0,64,0,0,0,0,22,44,30
2004-03-01,37,51,37,96,0,0,79,89,56,0,0,0,37,0,42,75,0,77,0,0,0,43,82,22,0,0,49,0,0,46,58,0,0,74,0,100,75,0,0,0,54,58,37,0,0,35,41,0,0,49,36,46,34,45,0,100,0,0,0,0,27,54,44
2004-04-01,36,38,30,75,49,0,87,75,40,78,88,0,58,0,29,80,0,61,0,0,72,46,88,24,63,0,34,0,0,0,64,0,43,65,65,0,76,0,0,39,0,68,40,0,0,28,62,81,0,50,44,23,39,55,0,0,0,0,0,0,29,65,44
2004-05-01,64,59,50,81,88,0,90,73,41,60,63,0,80,35,23,99,0,70,0,0,76,56,100,30,68,0,41,0,39,61,56,0,48,38,0,0,77,0,0,62,61,89,82,0,0,44,62,87,0,69,70,26,58,62,33,76,30,0,43,0,34,72,46
2004-06-01,79,37,39,43,57,0,64,34,33,0,60,0,90,31,15,100,0,41,0,0,0,72,76,34,63,0,38,0,39,31,54,24,59,28,0,0,71,0,0,64,78,81,69,0,0,52,79,0,0,49,94,0,56,67,47,0,0,0,53,0,30,68,43
2004-07-01,75,45,34,30,40,0,77,57,42,0,63,0,78,62,18,89,21,29,0,0,0,73,84,42,59,0,40,0,39,38,56,0,41,32,0,0,95,0,99,36,60,94,78,0,0,51,91,0,0,54,85,0,48,55,37,0,0,0,0,0,30,60,43
2004-08-01,72,23,38,40,0,0,60,39,0,0,66,0,45,35,26,80,0,26,0,0,0,58,65,27,34,0,18,0,0,19,44,0,35,24,0,66,76,0,0,58,49,47,49,0,0,46,83,69,0,39,67,0,41,64,46,0,51,0,0,0,23,53,38
2004-09-01,39,30,21,63,34,0,63,58,26,64,0,46,43,0,25,52,0,43,0,0,0,35,70,17,28,0,34,0,0,22,41,0,0,28,38,0,53,0,76,33,45,52,29,0,0,31,42,0,0,33,48,21,35,52,44,0,0,0,0,0,19,42,36
2004-10-01,23,26,25,51,43,0,41,42,0,0,48,0,39,36,31,31,0,46,0,0,51,28,57,12,0,26,24,0,0,53,30,0,24,41,0,0,35,0,0,0,38,23,29,0,0,0,22,0,0,26,35,34,26,64,34,45,0,0,42,0,18,41,30
2004-11-01,12,24,22,64,0,0,31,39,0,0,46,0,50,0,26,36,0,58,100,0,0,25,61,10,0,0,21,0,0,23,41,0,27,49,0,0,0,0,0,0,29,0,0,0,0,0,29,0,0,31,23,29,20,28,0,0,0,0,38,0,16,32,24
